Year,Fantasy_Points,PassingYards,PassingTDs,Ints,RushAttempts,RushYards,Fumbles,RushTDs,PassingSkill,RunningSkill
2021-01-01,12,4,0,0,13,87,0,1,Backup,RegularQB
2022-01-01,218,2219,15,9,85,438,3,4,Did not play many games,Dual Threat
2023-01-01,12,164,1,1,8,52,1,0,Backup,RegularQB
2019-01-01,128,1765,13,9,21,42,0,0,Backup,RegularQB
2020-01-01,22,324,2,1,7,-6,0,0,Backup,RegularQB
2021-01-01,18,277,1,1,5,53,0,0,Backup,RegularQB
2023-01-01,44,719,3,0,10,8,1,0,Backup,RegularQB
2019-01-01,7,359,0,3,2,-4,1,0,Backup,RegularQB
2020-01-01,10,197,1,1,6,-6,0,0,Backup,RegularQB
2023-01-01,0,0,0,0,3,-3,0,0,Backup,RegularQB
2019-01-01,49,659,4,0,5,-1,0,0,Backup,RegularQB
2019-01-01,311,4466,26,14,34,147,5,1,High Volume,RegularQB
2020-01-01,327,4581,26,11,29,92,3,2,High Volume,RegularQB
2021-01-01,252,3968,20,12,40,82,4,1,Solid,RegularQB
2022-01-01,181,3057,14,13,27,70,5,1,Not Very Good,RegularQB
2019-01-01,39,580,3,1,3,-3,1,0,Backup,RegularQB
2020-01-01,0,0,0,0,3,-4,0,0,Backup,RegularQB
2019-01-01,201,2499,19,5,20,66,3,0,Did not play many games,RegularQB
2020-01-01,301,4084,26,10,29,112,1,0,Really Good,RegularQB
2021-01-01,405,4886,41,17,32,43,2,0,High Volume,RegularQB
2022-01-01,126,2087,10,8,13,9,3,1,Backup,RegularQB
2023-01-01,281,3965,24,11,21,65,0,0,Solid,RegularQB
2019-01-01,6,56,1,0,2,0,1,0,Backup,RegularQB
2020-01-01,73,1072,7,5,6,17,2,0,Backup,RegularQB
2021-01-01,36,790,4,10,7,33,3,1,Backup,RegularQB
2021-01-01,53,953,5,8,5,-1,0,0,Backup,RegularQB
2022-01-01,60,1192,3,4,6,9,1,1,Backup,RegularQB
2023-01-01,5,74,1,1,8,-9,1,0,Backup,RegularQB
2019-01-01,228,3138,17,10,48,193,2,2,Game Manager,RegularQB
2020-01-01,180,2055,16,8,33,195,2,1,Did not play many games,RegularQB
2021-01-01,6,43,0,1,13,24,0,1,Backup,RegularQB
2022-01-01,75,1252,4,5,19,38,0,2,Backup,RegularQB
2023-01-01,53,632,4,5,16,54,1,2,Backup,RegularQB
2020-01-01,-1,32,0,1,2,12,1,0,Backup,RegularQB
2022-01-01,0,0,0,0,5,-4,0,0,Backup,RegularQB
2020-01-01,1,25,0,0,1,9,0,0,Backup,RegularQB
2021-01-01,0,0,0,0,2,2,0,0,Backup,RegularQB
2022-01-01,9,139,1,1,2,7,0,0,Backup,RegularQB
